,pid,selected,stationID,country,IcosClass,latitude,longitude,altitude,samplingHeight,size,nRows,dataLevel,obsStart,obsStop,productionTime,accessUrl,fileName,dClass,dataSetLabel,stationName
165,loluBHpTb7EgO4DQ5hM8PRU_,True,BRM,CH,no,47.1896,8.1755,797.0,212.0,1443647,81739,2,2012-11-05T09:30:00Z,2023-03-31T23:30:00Z,2024-05-01T20:01:30.128357Z,https://data.icos-cp.eu/objects/loluBHpTb7EgO4DQ5hM8PRU_,co2_brm_tower-insitu_49_allvalid-212magl.nc,4,Obspack CO2 time-series result,Beromunster
279,Pl8K37vLYJVtliKn1gBxWvJq,True,BRM,CH,no,47.1896,8.1755,797.0,132.0,1447173,81511,2,2012-11-05T09:30:00Z,2023-03-31T23:30:00Z,2024-05-01T20:01:41.816486Z,https://data.icos-cp.eu/objects/Pl8K37vLYJVtliKn1gBxWvJq,co2_brm_tower-insitu_49_allvalid-132magl.nc,4,Obspack CO2 time-series result,Beromunster
213,m3JKJ-XzZI8-lJ0TGXbSrdKM,True,BRM,CH,no,47.1896,8.1755,797.0,72.0,1453096,81714,2,2012-11-05T09:30:00Z,2023-03-31T23:30:00Z,2024-05-01T20:01:07.435863Z,https://data.icos-cp.eu/objects/m3JKJ-XzZI8-lJ0TGXbSrdKM,co2_brm_tower-insitu_49_allvalid-72magl.nc,4,Obspack CO2 time-series result,Beromunster
236,r0Fg3R53xEsmWYknbrrERT0x,True,BRM,CH,no,47.1896,8.1755,797.0,44.6,1458073,81715,2,2012-11-05T09:30:00Z,2023-03-31T23:30:00Z,2024-05-01T20:01:19.004904Z,https://data.icos-cp.eu/objects/r0Fg3R53xEsmWYknbrrERT0x,co2_brm_tower-insitu_49_allvalid-44magl.nc,4,Obspack CO2 time-series result,Beromunster
226,vyy77i8T4qKgQ6SSR9V4K3ww,True,BRM,CH,no,47.1896,8.1755,797.0,12.5,1461692,81703,2,2012-11-05T09:30:00Z,2023-03-31T23:30:00Z,2024-05-01T20:01:53.312784Z,https://data.icos-cp.eu/objects/vyy77i8T4qKgQ6SSR9V4K3ww,co2_brm_tower-insitu_49_allvalid-12magl.nc,4,Obspack CO2 time-series result,Beromunster
274,N8iDZuDYIHsm9VeCPzthemje,True,BRM,CH,no,47.1896,8.1755,797.0,212.0,1278316,100056,2,2012-11-01T00:00:00Z,2024-03-31T23:00:00Z,2024-07-17T12:06:32Z,https://data.icos-cp.eu/objects/N8iDZuDYIHsm9VeCPzthemje,ICOS_ATC_OBSPACK-Europe-L2-2024_BRM_212.0_CTS_CO2.zip,2,Atmospheric CO2 product,Beromunster
49,bq_R4xVSwxptP_9Jyz-9yM7y,True,BRM,CH,no,47.1896,8.1755,797.0,132.0,1286774,100056,2,2012-11-01T00:00:00Z,2024-03-31T23:00:00Z,2024-07-17T12:06:24Z,https://data.icos-cp.eu/objects/bq_R4xVSwxptP_9Jyz-9yM7y,ICOS_ATC_OBSPACK-Europe-L2-2024_BRM_132.0_CTS_CO2.zip,2,Atmospheric CO2 product,Beromunster
13,YM8W_EXKbpYKniN0UBZCumD9,True,BRM,CH,no,47.1896,8.1755,797.0,72.0,1297068,100056,2,2012-11-01T00:00:00Z,2024-03-31T23:00:00Z,2024-07-17T12:06:51Z,https://data.icos-cp.eu/objects/YM8W_EXKbpYKniN0UBZCumD9,ICOS_ATC_OBSPACK-Europe-L2-2024_BRM_72.0_CTS_CO2.zip,2,Atmospheric CO2 product,Beromunster
9,Uqf0uZxcEftyNZccDXOkbmh-,True,BRM,CH,no,47.1896,8.1755,797.0,44.6,1302474,100056,2,2012-11-01T00:00:00Z,2024-03-31T23:00:00Z,2024-07-17T12:06:42Z,https://data.icos-cp.eu/objects/Uqf0uZxcEftyNZccDXOkbmh-,ICOS_ATC_OBSPACK-Europe-L2-2024_BRM_44.6_CTS_CO2.zip,2,Atmospheric CO2 product,Beromunster
176,RUHwK75KAdipBVZfBQwaNJgH,True,BRM,CH,no,47.1896,8.1755,797.0,12.5,1310618,100056,2,2012-11-01T00:00:00Z,2024-03-31T23:00:00Z,2024-07-17T12:06:15Z,https://data.icos-cp.eu/objects/RUHwK75KAdipBVZfBQwaNJgH,ICOS_ATC_OBSPACK-Europe-L2-2024_BRM_12.5_CTS_CO2.zip,2,Atmospheric CO2 product,Beromunster
22,9_tK1OSyyjGueS-y-BbpG3kf,True,JFJ,CH,1,46.5475,7.9851,3571.8,13.9,2726952,151885,2,2004-12-09T15:30:00Z,2024-04-30T23:30:00Z,2024-05-01T20:13:18.304853Z,https://data.icos-cp.eu/objects/9_tK1OSyyjGueS-y-BbpG3kf,co2_jfj_tower-insitu_49_allvalid-13magl.nc,4,Obspack CO2 time-series result,Jungfraujoch
255,hsocUDgfORKLhBWs6n5GlXUW,True,JFJ,CH,1,46.5475,7.9851,3571.8,5.0,2629796,143176,2,2004-12-09T15:30:00Z,2023-04-25T20:30:00Z,2023-04-26T22:48:04.654557Z,https://data.icos-cp.eu/objects/hsocUDgfORKLhBWs6n5GlXUW,co2_jfj_surface-insitu_49_allvalid.nc,4,Obspack CO2 time-series result,Jungfraujoch
